name,url,source,authors
"Nomadic Dawn",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Nomadic-Dawn(chosic.com).mp3,https://www.chosic.com/download-audio/29648/,"Alexander Nakarada"
"One Bard Band",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/One-Bard-Band(chosic.com).mp3,https://www.chosic.com/download-audio/29651/,"Alexander Nakarada"
Farm,https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Farm(chosic.com).mp3,https://www.chosic.com/download-audio/29653/,"Alexander Nakarada"
Planning,https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Planning(chosic.com).mp3,https://www.chosic.com/download-audio/29654/,"Alexander Nakarada"
"Now We Ride",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Now-We-Ride(chosic.com).mp3,https://www.chosic.com/download-audio/29657/,"Alexander Nakarada"
"Highland Song",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Highland-Song(chosic.com).mp3,https://www.chosic.com/download-audio/29658/,"Alexander Nakarada"
"Surreal Forest",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/04-Meydan-Surreal-Forest(chosic.com).mp3,https://www.chosic.com/download-audio/30330/,Meydän
Invocation,https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/sb_invocation(chosic.com).mp3,https://www.chosic.com/download-audio/57877/,"Scott Buckley"
Enchanted,https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Enchanted(chosic.com).mp3,https://www.chosic.com/download-audio/30479/,"Keys of Moon"
"Minstrel’s Song",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Minstrels-Song(chosic.com).mp3,https://www.chosic.com/download-audio/30487/,"Keys of Moon"
"River Dance",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/River-Dance-Folk-Fantasy-Music(chosic.com).mp3,https://www.chosic.com/download-audio/32077/,"Keys of Moon"
"Come Out And Play",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Come-Out-And-Play-Remixed-Royalty-Free(chosic.com).mp3,https://www.chosic.com/download-audio/45513/,"Darren Curtis"
"A Robust Crew",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/a-robust-crew(chosic.com).mp3,https://www.chosic.com/download-audio/45396/,"Darren Curtis"
"Echoes Of Home",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/EchoesOfHome-chosic.com_.mp3,https://www.chosic.com/download-audio/59912/,"Scott Buckley"
"Fantasy Soundscape",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Fantasy_Soundscape-chosic.com_.mp3,https://www.chosic.com/download-audio/59401/,"Alexander Nakarada"
"Dream Of A Dream",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Dream_of_a_Dream-chosic.com_.mp3,https://www.chosic.com/download-audio/59400/,"Alexander Nakarada"
"Misty Hollow",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Peritune_Misty_Hollow-chosic.com_.mp3,https://www.chosic.com/download-audio/59368/,PeriTune
"Realm Of Eternal Legends",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Realm_of_Eternal_Legends-chosic.com_.mp3,https://www.chosic.com/download-audio/59061/,"Alexander Nakarada"
"Lively Tavern",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Lively_Tavern-chosic.com_.mp3,https://www.chosic.com/download-audio/59059/,"Alexander Nakarada"
"Bewitched Forest",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Peritune_Bewitched_Forest-chosic.com_.mp3,https://www.chosic.com/download-audio/58935/,PeriTune
Alleyway,https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/PeriTune_Alleyway-chosic.com_.mp3,https://www.chosic.com/download-audio/58934/,PeriTune
"Cold Light",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Peritune_Cold_Light-chosic.com_.mp3,https://www.chosic.com/download-audio/58931/,PeriTune
