name,url,source,authors
"UFO RAGE",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/synthwave/mc-quattro-beats-beats-ufo-rage-cyberpunk-2022-13551.mp3,https://pixabay.com/music/synthwave-mc-quattro-beats-beats-ufo-rage-cyberpunk-2022-13551/,MC_QUATTRO
"Lady of the 80's",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/synthwave/lady-of-the-80x27s-128379.mp3,https://pixabay.com/music/synthwave-lady-of-the-80x27s-128379/,Grand_Project
"Inspiring Motivation Synthwave",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/synthwave/inspiring-motivation-synthwave-398285.mp3,https://pixabay.com/music/electronic-inspiring-motivation-synthwave-398285/,DELOSound
Nebula,https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/synthwave/nebula-939.mp3,https://pixabay.com/music/synthwave-nebula-939/,Electronic-Senses
"Let's meet Michelle",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/synthwave/letx27s-meet-michelle-synthpop-background-music-for-video-vlog-394174.mp3,https://pixabay.com/music/upbeat-letx27s-meet-michelle-synthpop-background-music-for-video-vlog-394174/,White_Records
"Little Charlie",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/synthwave/little-charlie-synthwave-background-music-for-vlog-video-stories-385882.mp3,https://pixabay.com/music/synthwave-little-charlie-synthwave-background-music-for-vlog-video-stories-385882/,White_Records
"Neon Reverie",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/synthwave/neon-reverie-237942.mp3,https://pixabay.com/music/synth-pop-neon-reverie-237942/,Top-Flow
